Player,Season,Team,Position,GP,TOI,G,A1,A2,A,P,P1,G/60,A1/60,A2/60,A/60,P/60,P1/60,GS,GS/60,iCF,iCF/60,iCSh%,iFF,iFF/60,iFSh%,iSF,iSF/60,ShootPerc,ixGF,ixGF/60,ixFSh%,iPENT,iPEND,iP+/-,iPENT/60,iPEND/60,iFOW,iFOL,iFO%,iGVA,iTKA,iGVA/60,iTKA/60,iHF,iHA,iHF/60,iHA/60,iBLK,iBLK/60
Emelin,2017-2018,NSH,D,75,1267.03,1,5,3,8,9,6,0.05,0.24,0.14,0.38,0.43,0.28,8.16,0.39,134,6.35,0.75,93,4.4,1.08,58,2.75,1.72,2.58,0.12,2.77,18,7,-11,0.85,0.33,1,0,100,39,20,1.85,0.95,181,147,8.57,6.96,107,5.07
Bitetto,2017-2018,NSH,D,32,430.45,1,0,2,2,3,1,0.14,0,0.28,0.28,0.42,0.14,-0.18,-0.03,54,7.53,1.85,38,5.3,2.63,25,3.48,4,0.89,0.12,2.34,11,6,-5,1.53,0.84,0,0,NA,16,7,2.23,0.98,40,55,5.58,7.67,31,4.32
Watson,2017-2018,NSH,L,75,924.5,13,2,3,5,18,15,0.84,0.13,0.19,0.32,1.17,0.97,17.36,1.13,168,10.9,7.74,131,8.5,9.92,94,6.1,13.83,10.05,0.65,7.67,31,20,-11,2.01,1.3,27,16,62.79,27,29,1.75,1.88,187,69,12.14,4.48,77,5
Jarnkrok,2017-2018,NSH,C,68,1080.2,16,10,9,19,35,26,0.89,0.56,0.5,1.06,1.94,1.44,34.76,1.93,184,10.22,8.7,144,8,11.11,105,5.83,15.24,10.58,0.59,7.35,6,8,2,0.33,0.44,266,253,51.25,10,22,0.56,1.22,36,61,2,3.39,31,1.72
Sissons,2017-2018,NSH,C,80,1286.37,9,7,9,16,25,16,0.42,0.33,0.42,0.75,1.17,0.75,29.03,1.35,188,8.77,4.79,151,7.04,5.96,118,5.5,7.63,14.47,0.67,9.58,19,14,-5,0.89,0.65,511,413,55.3,29,25,1.35,1.17,133,102,6.2,4.76,48,2.24
Smith,2017-2018,NSH,C,78,1197.72,25,15,9,24,49,40,1.25,0.75,0.45,1.2,2.45,2,69.89,3.5,369,18.49,6.78,317,15.88,7.89,227,11.37,11.01,26.22,1.31,8.27,12,14,2,0.6,0.7,39,52,42.86,28,59,1.4,2.96,60,99,3.01,4.96,35,1.75
Forsberg,2017-2018,NSH,L,66,1153.65,23,30,8,38,61,53,1.2,1.56,0.42,1.98,3.17,2.76,66.22,3.44,337,17.53,6.82,256,13.31,8.98,173,9,13.29,19.18,1,7.49,18,13,-5,0.94,0.68,4,5,44.44,64,48,3.33,2.5,86,76,4.47,3.95,37,1.92
Fiala,2017-2018,NSH,L,79,1195.03,23,14,11,25,48,37,1.15,0.7,0.55,1.26,2.41,1.86,65.38,3.28,348,17.47,6.61,251,12.6,9.16,183,9.19,12.57,20.4,1.02,8.13,14,27,13,0.7,1.36,0,5,0,54,42,2.71,2.11,34,69,1.71,3.46,27,1.36
Turris,2017-2018,NSH,C,75,1244.87,16,17,18,35,51,33,0.77,0.82,0.87,1.69,2.46,1.59,58.78,2.83,269,12.97,5.95,206,9.93,7.77,144,6.94,11.11,14.43,0.7,7,13,17,4,0.63,0.82,445,422,51.33,32,37,1.54,1.78,21,57,1.01,2.75,33,1.59
Ekholm,2017-2018,NSH,D,80,1890.65,10,16,8,24,34,26,0.32,0.51,0.25,0.76,1.08,0.83,53.02,1.68,285,9.04,3.51,193,6.12,5.18,135,4.28,7.41,6.82,0.22,3.53,23,20,-3,0.73,0.63,0,1,0,69,38,2.19,1.21,73,97,2.32,3.08,116,3.68
Irwin,2017-2018,NSH,D,49,653.13,2,2,3,5,7,4,0.18,0.18,0.28,0.46,0.64,0.37,12.85,1.18,145,13.32,1.38,91,8.36,2.2,62,5.7,3.23,2.35,0.22,2.58,4,3,-1,0.37,0.28,0,0,NA,16,10,1.47,0.92,76,87,6.98,7.99,53,4.87
Salomaki,2017-2018,NSH,R,57,583.18,2,4,2,6,8,6,0.21,0.41,0.21,0.62,0.82,0.62,9.33,0.96,103,10.6,1.94,78,8.02,2.56,48,4.94,4.17,4.56,0.47,5.85,18,10,-8,1.85,1.03,5,7,41.67,8,13,0.82,1.34,112,63,11.52,6.48,35,3.6
Fisher,2017-2018,NSH,C,15,184.45,2,1,0,1,3,3,0.65,0.33,0,0.33,0.98,0.98,1.27,0.41,20,6.51,10,15,4.88,13.33,12,3.9,16.67,0.78,0.25,5.2,3,1,-2,0.98,0.33,99,72,57.89,5,7,1.63,2.28,24,13,7.81,4.23,14,4.55
Bonino,2017-2018,NSH,C,70,1097.37,12,8,5,13,25,20,0.66,0.44,0.27,0.71,1.37,1.09,25.36,1.39,143,7.82,8.39,120,6.56,10,83,4.54,14.46,9.93,0.54,8.28,10,11,1,0.55,0.6,524,441,54.3,33,64,1.8,3.5,18,46,0.98,2.52,71,3.88
Subban,2017-2018,NSH,D,81,1956.08,16,28,15,43,59,44,0.49,0.86,0.46,1.32,1.81,1.35,65.92,2.02,428,13.13,3.74,289,8.86,5.54,205,6.29,7.8,12.65,0.39,4.38,31,23,-8,0.95,0.71,1,2,33.33,94,43,2.88,1.32,110,82,3.37,2.52,89,2.73
Josi,2017-2018,NSH,D,74,1815.28,14,24,13,37,51,38,0.46,0.79,0.43,1.22,1.69,1.26,71.6,2.37,480,15.87,2.92,324,10.71,4.32,252,8.33,5.56,15.08,0.5,4.65,12,11,-1,0.4,0.36,0,0,NA,58,29,1.92,0.96,79,88,2.61,2.91,120,3.97
Ellis,2017-2018,NSH,D,43,1007.87,9,11,9,20,29,20,0.54,0.65,0.54,1.19,1.73,1.19,44.25,2.63,220,13.1,4.09,159,9.47,5.66,110,6.55,8.18,6.07,0.36,3.82,4,9,5,0.24,0.54,0,0,NA,32,33,1.91,1.96,26,37,1.55,2.2,83,4.94
Hartman,2017-2018,NSH,R,77,1005.65,11,13,7,20,31,24,0.66,0.78,0.42,1.19,1.85,1.43,39.7,2.37,246,14.68,4.47,182,10.86,6.04,129,7.7,8.53,13.32,0.79,7.32,27,31,4,1.61,1.85,93,110,45.81,20,25,1.19,1.49,112,112,6.68,6.68,38,2.27
Johansen,2017-2018,NSH,C,78,1450.15,15,17,20,37,52,32,0.62,0.7,0.83,1.53,2.15,1.32,52.67,2.18,207,8.56,7.25,169,6.99,8.88,127,5.25,11.81,16.18,0.67,9.57,29,19,-10,1.2,0.79,796,646,55.2,41,45,1.7,1.86,86,68,3.56,2.81,35,1.45
Hartnell,2017-2018,NSH,L,61,730.58,13,7,2,9,22,20,1.07,0.57,0.16,0.74,1.81,1.64,22.56,1.85,132,10.84,9.85,106,8.71,12.26,82,6.73,15.85,8.27,0.68,7.8,22,11,-11,1.81,0.9,3,12,20,25,14,2.05,1.15,81,40,6.65,3.29,25,2.05
Arvidsson,2017-2018,NSH,L,78,1384.35,29,13,18,31,60,42,1.26,0.56,0.78,1.34,2.6,1.82,66.81,2.9,425,18.42,6.82,345,14.95,8.41,247,10.71,11.74,27.64,1.2,8.01,18,20,2,0.78,0.87,11,22,33.33,35,31,1.52,1.34,30,122,1.3,5.29,52,2.25
Weber,2017-2018,NSH,D,47,566.7,2,3,0,3,5,5,0.21,0.32,0,0.32,0.53,0.53,4.1,0.43,82,8.68,2.44,57,6.03,3.51,40,4.24,5,2.71,0.29,4.75,8,3,-5,0.85,0.32,0,0,NA,13,4,1.38,0.42,47,64,4.98,6.78,35,3.71
Wennebrg,2017-2018,CBJ,C,66,1196.3,8,15,12,27,35,23,0.4,0.75,0.6,1.35,1.76,1.15,41.65,2.09,127,6.37,6.3,104,5.22,7.69,74,3.71,10.81,10.24,0.51,9.85,5,11,6,0.25,0.55,349,424,45.15,15,36,0.75,1.81,28,66,1.4,3.31,46,2.31
Panarin,2017-2018,CBJ,C,81,1630.68,27,35,20,55,82,62,0.99,1.29,0.74,2.02,3.02,2.28,95.58,3.52,470,17.29,5.74,338,12.44,7.99,228,8.39,11.84,23.18,0.85,6.86,15,22,7,0.55,0.81,0,7,0,51,70,1.88,2.58,15,56,0.55,2.06,19,0.7
Jenner,2017-2018,CBJ,C,74,1217.07,13,12,7,19,32,25,0.64,0.59,0.35,0.94,1.58,1.23,35.13,1.73,303,14.94,4.29,251,12.37,5.18,182,8.97,7.14,19.06,0.94,7.59,13,17,4,0.64,0.84,263,210,55.6,16,33,0.79,1.63,202,104,9.96,5.13,83,4.09
Dubinsky,2017-2018,CBJ,C,61,938.55,5,7,3,10,15,12,0.32,0.45,0.19,0.64,0.96,0.77,14.6,0.93,145,9.27,3.45,115,7.35,4.35,86,5.5,5.81,8.11,0.52,7.05,14,9,-5,0.89,0.58,514,429,54.51,12,24,0.77,1.53,143,39,9.14,2.49,47,3
Atkinson,2017-2018,CBJ,R,65,1228.57,24,16,6,22,46,40,1.17,0.78,0.29,1.07,2.25,1.95,58.15,2.84,380,18.56,6.32,303,14.8,7.92,231,11.28,10.39,29.16,1.42,9.62,6,9,3,0.29,0.44,21,44,32.31,19,31,0.93,1.51,32,20,1.56,0.98,29,1.42
Savard,2017-2018,CBJ,D,80,1546.9,4,8,4,12,16,12,0.16,0.31,0.16,0.47,0.62,0.47,26.45,1.03,267,10.36,1.5,188,7.29,2.13,144,5.59,2.78,5.6,0.22,2.98,15,4,-11,0.58,0.16,0,0,NA,26,24,1.01,0.93,142,105,5.51,4.07,141,5.47
Cole,2017-2018,CBJ,D,66,1170.57,5,7,6,13,18,12,0.26,0.36,0.31,0.67,0.92,0.62,25.65,1.31,181,9.28,2.76,118,6.05,4.24,82,4.2,6.1,3.26,0.17,2.76,32,14,-18,1.64,0.72,0,0,NA,26,20,1.33,1.03,94,121,4.82,6.2,115,5.89
Johnson,2017-2018,CBJ,D,76,1481.95,3,4,4,8,11,7,0.12,0.16,0.16,0.32,0.45,0.28,12.53,0.51,172,6.96,1.74,124,5.02,2.42,87,3.52,3.45,4.11,0.17,3.31,12,4,-8,0.49,0.16,0,0,NA,22,20,0.89,0.81,101,86,4.09,3.48,132,5.34
Anderson,2017-2018,CBJ,R,62,1121.48,18,5,6,11,29,23,0.96,0.27,0.32,0.59,1.55,1.23,44.01,2.35,315,16.85,5.71,252,13.48,7.14,186,9.95,9.68,19.37,1.04,7.69,16,22,6,0.86,1.18,26,35,42.62,18,40,0.96,2.14,109,89,5.83,4.76,23,1.23
Sedlak,2017-2018,CBJ,C,53,498.22,3,0,4,4,7,3,0.36,0,0.48,0.48,0.84,0.36,8.59,1.03,93,11.2,3.23,79,9.51,3.8,49,5.9,6.12,6.92,0.83,8.76,8,11,3,0.96,1.32,191,180,51.48,10,13,1.2,1.57,76,64,9.15,7.71,26,3.13
Letestu,2017-2018,CBJ,C,79,1006.43,9,5,6,11,20,14,0.54,0.3,0.36,0.66,1.19,0.83,19.18,1.14,185,11.03,4.86,139,8.29,6.47,110,6.56,8.18,10.55,0.63,7.59,4,1,-3,0.24,0.06,466,398,53.94,20,18,1.19,1.07,62,38,3.7,2.27,32,1.91
Nutivaara,2017-2018,CBJ,D,61,977.33,7,10,5,15,22,17,0.43,0.61,0.31,0.92,1.35,1.04,29.62,1.82,156,9.58,4.49,113,6.94,6.19,79,4.85,8.86,4.36,0.27,3.86,7,5,-2,0.43,0.31,0,0,NA,19,9,1.17,0.55,42,61,2.58,3.74,40,2.46
Calvert,2017-2018,CBJ,L,68,908.12,9,8,7,15,24,17,0.59,0.53,0.46,0.99,1.59,1.12,20.29,1.34,166,10.97,5.42,137,9.05,6.57,105,6.94,8.57,11.71,0.77,8.55,11,5,-6,0.73,0.33,15,29,34.09,13,25,0.86,1.65,59,94,3.9,6.21,34,2.25
Foligno,2017-2018,CBJ,L,72,1321.22,14,7,11,18,32,21,0.64,0.32,0.5,0.82,1.45,0.95,36.39,1.65,207,9.4,6.76,170,7.72,8.24,136,6.18,10.29,15.27,0.69,8.98,20,14,-6,0.91,0.64,340,401,45.88,35,34,1.59,1.54,182,71,8.27,3.22,60,2.72
Bjorkstrand,2017-2018,CBJ,R,81,1159.02,11,17,12,29,40,28,0.57,0.88,0.62,1.5,2.07,1.45,46.16,2.39,287,14.86,3.83,229,11.85,4.8,161,8.33,6.83,13.6,0.7,5.94,5,12,7,0.26,0.62,1,7,12.5,24,26,1.24,1.35,64,106,3.31,5.49,43,2.23
Luc Dubois,2017-2018,CBJ,L,81,1347.35,20,12,16,28,48,32,0.89,0.53,0.71,1.25,2.14,1.43,61.9,2.76,271,12.07,7.38,219,9.75,9.13,163,7.26,12.27,19.91,0.89,9.09,18,24,6,0.8,1.07,457,575,44.28,29,38,1.29,1.69,125,142,5.57,6.32,44,1.96
Murray,2017-2018,CBJ,D,44,810.83,1,6,5,11,12,7,0.07,0.44,0.37,0.81,0.89,0.52,13.22,0.98,85,6.29,1.18,56,4.14,1.79,33,2.44,3.03,1.62,0.12,2.89,4,1,-3,0.3,0.07,0,0,NA,18,11,1.33,0.81,31,47,2.29,3.48,75,5.55
Harrington,2017-2018,CBJ,D,31,407.13,2,1,1,2,4,3,0.29,0.15,0.15,0.29,0.59,0.44,1.73,0.25,51,7.52,3.92,39,5.75,5.13,27,3.98,7.41,1.33,0.2,3.41,4,0,-4,0.59,0,0,0,NA,3,7,0.44,1.03,31,49,4.57,7.22,42,6.19
Jones,2017-2018,CBJ,D,78,1918.95,16,24,15,39,55,40,0.5,0.75,0.47,1.22,1.72,1.25,77.12,2.41,485,15.16,3.3,361,11.29,4.43,249,7.79,6.43,13.12,0.41,3.63,14,18,4,0.44,0.56,0,0,NA,55,67,1.72,2.09,92,96,2.88,3,124,3.88
Milano,2017-2018,CBJ,L,54,626.47,14,4,4,8,22,18,1.34,0.38,0.38,0.77,2.11,1.72,22.12,2.12,121,11.59,11.57,101,9.67,13.86,69,6.61,20.29,6.52,0.62,6.46,5,9,4,0.48,0.86,0,0,NA,18,12,1.72,1.15,28,74,2.68,7.09,11,1.05
Vanek,2017-2018,CBJ,L,78,1099.37,24,22,9,31,55,46,1.31,1.2,0.49,1.69,3,2.51,45.3,2.47,255,13.92,9.41,211,11.52,11.37,163,8.9,14.72,19.19,1.05,9.09,18,7,-11,0.98,0.38,6,18,25,35,28,1.91,1.53,36,25,1.96,1.36,16,0.87
Werenski,2017-2018,CBJ,D,77,1738.35,16,12,8,20,36,28,0.55,0.41,0.28,0.69,1.24,0.97,59.92,2.07,383,13.22,4.18,283,9.77,5.65,207,7.14,7.73,11.57,0.4,4.09,9,13,4,0.31,0.45,0,0,NA,42,32,1.45,1.1,58,67,2,2.31,92,3.18